sinco_code,title,slug,category,category_es,division_es,jobs,median_income_monthly,median_income_hourly,median_hours_weekly,education_mode,pct_professional,formality_rate,health_insurance_rate,health_protection_index
3113,Capturistas de datos,sinco-3113,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,218170,12000,64.0,40.0,Profesional (licenciatura),50.2,85.7,86.3,86.3
9112,Trabajadores de apoyo en actividades ganaderas,sinco-9112,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,215080,6020,37.5,40.0,Primaria,2.8,12.5,12.8,15.5
2411,Médicos generales y familiares,sinco-2411,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,212863,18000,108.0,40.0,Profesional (licenciatura),100.0,70.9,58.4,59.2
7134,"Plomeros, fontaneros e instaladores de tubería",sinco-7134,crafts-trades,Artesanos y oficios,Trabajadores artesanales,208690,10750,66.7,45.0,Secundaria,8.0,37.3,36.8,37.5
4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta),sinco-4222,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",202470,14000,77.5,40.0,Profesional (licenciatura),66.8,83.1,75.6,75.9
4214,Choferes vendedores,sinco-4214,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",197464,12000,52.1,52.0,Preparatoria,8.2,76.2,77.2,78.6
9234,"Trabajadores de apoyo en la industria de la madera, papel y cartón",sinco-9234,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,177084,8600,44.4,46.0,Secundaria,9.3,37.9,37.9,42.0
2821,Auxiliares en enfermería y paramédicos,sinco-2821,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,175770,12000,67.8,40.0,Preparatoria,29.2,74.0,74.8,75.6
7135,Pintores de brocha gorda,sinco-7135,crafts-trades,Artesanos y oficios,Trabajadores artesanales,174310,10320,57.1,45.0,Secundaria,7.1,23.0,20.5,21.3
7101,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción",sinco-7101,crafts-trades,Artesanos y oficios,Trabajadores artesanales,169004,18060,93.0,48.0,Profesional (licenciatura),56.7,69.0,54.7,53.8
7213,"Hojalateros, chaperos, latoneros, cobreros y pintores de metales",sinco-7213,crafts-trades,Artesanos y oficios,Trabajadores artesanales,168556,11180,62.5,48.0,Secundaria,12.2,30.6,20.6,23.9
8201,"Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos, eléctricos y electrónicos",sinco-8201,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",165528,12556,62.5,45.0,Profesional (licenciatura),36.8,94.5,94.8,95.1
9235,Trabajadores de apoyo en la industria textil y del zapato,sinco-9235,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,163056,6880,38.5,45.0,Secundaria,9.0,42.1,43.1,46.4
2142,Psicólogos,sinco-2142,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,161345,12000,93.0,36.0,Profesional (licenciatura),100.0,61.7,33.0,32.9
2634,Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales,sinco-2634,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,160018,12900,62.5,48.0,Preparatoria,26.1,82.2,78.1,78.1
7515,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",sinco-7515,crafts-trades,Artesanos y oficios,Trabajadores artesanales,160004,4300,40.0,32.0,Secundaria,8.9,10.2,4.8,5.1
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",sinco-5101,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,159704,12900,67.8,48.0,Profesional (licenciatura),48.5,65.8,61.2,64.8
3131,Trabajadores en archivo y correspondencia,sinco-3131,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,158708,12000,67.8,40.0,Profesional (licenciatura),61.5,83.9,84.4,85.0
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",sinco-2651,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,155863,14000,77.5,40.0,Profesional (licenciatura),45.2,71.5,62.3,63.4
2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,sinco-2633,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,154584,13330,72.4,47.0,Preparatoria,31.6,91.4,88.6,88.6
4212,"Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras",sinco-4212,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",153351,8600,41.7,48.0,Preparatoria,9.3,66.4,67.3,70.4
6116,Trabajadores en otros cultivos agrícolas,sinco-6116,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",150243,6450,44.4,40.0,Primaria,8.9,31.2,17.3,14.5
2111,Administradores y profesionistas en recursos humanos y sistemas de gestión,sinco-2111,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,148424,18000,94.9,40.0,Profesional (licenciatura),100.0,87.4,77.5,77.9
2263,"Arquitectos, planificadores urbanos y del transporte",sinco-2263,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,148123,18000,102.3,42.0,Profesional (licenciatura),100.0,79.0,45.9,46.6
5241,Jardineros en establecimientos,sinco-5241,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,147833,8600,50.0,44.0,Secundaria,5.1,50.9,51.0,53.0
9631,Lavadores de vehículos en establecimientos,sinco-9631,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,147722,7000,41.0,48.0,Secundaria,5.3,17.8,13.2,16.1
1211,"Directores y gerentes en administración, recursos humanos y mercadotecnia",sinco-1211,management,Funcionarios y directivos,"Funcionarios, directores y jefes",145666,30000,144.7,44.0,Profesional (licenciatura),80.7,94.3,85.5,85.5
9233,"Trabajadores de apoyo en la industria química, petroquímica, tratamiento de agua y plásticos",sinco-9233,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,144432,9460,45.8,46.0,Secundaria,10.5,78.8,78.9,80.5
3101,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte",sinco-3101,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,143327,12900,66.4,48.0,Profesional (licenciatura),51.9,91.6,91.8,92.6
8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",sinco-8161,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",140894,9030,50.0,48.0,Secundaria,13.5,94.8,94.7,94.5
7212,Soldadores y oxicortadores,sinco-7212,crafts-trades,Artesanos y oficios,Trabajadores artesanales,138563,12900,62.5,48.0,Secundaria,6.5,52.8,51.0,53.1
9661,Recolectores de basura y material reciclable,sinco-9661,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,134023,6000,35.7,40.0,Secundaria,2.8,25.5,25.4,26.8
4231,Demostradores y promotores,sinco-4231,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",129057,9000,43.6,48.0,Preparatoria,13.7,93.2,93.5,91.9
9232,"Trabajadores de apoyo en la industria eléctrica, electrónica y comunicaciones",sinco-9232,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,127730,10105,53.5,45.0,Preparatoria,12.3,65.9,66.2,67.9
5242,Jardineros en casas particulares,sinco-5242,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,125619,6880,50.0,40.0,Secundaria,3.1,11.9,11.2,15.3
2172,Músicos,sinco-2172,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,125562,8600,162.8,15.0,Preparatoria,20.4,11.5,5.7,7.1
3122,"Cobradores, pagadores y prestamistas",sinco-3122,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,124816,10000,50.1,46.0,Preparatoria,31.3,75.6,73.7,76.5
2644,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodomésticos (excepto equipos informáticos)",sinco-2644,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,122915,10000,54.0,48.0,Secundaria,21.6,44.9,37.2,39.6
1412,Directores y gerentes de restaurantes y hoteles,sinco-1412,management,Funcionarios y directivos,"Funcionarios, directores y jefes",122813,17200,83.1,50.0,Profesional (licenciatura),54.6,82.5,41.8,42.2
6211,Trabajadores en actividades pesqueras,sinco-6211,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",120297,6450,50.0,35.0,Primaria,0.7,14.2,1.4,2.1
7343,Bordadores y deshiladores,sinco-7343,crafts-trades,Artesanos y oficios,Trabajadores artesanales,119024,1720,19.0,21.0,Secundaria,3.1,4.0,2.1,3.2
6131,Trabajadores que combinan actividades agrícolas con ganaderas,sinco-6131,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",118659,5000,26.0,48.0,Primaria,2.7,28.4,2.6,2.1
2643,"Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodomésticos (excepto equipos informáticos)",sinco-2643,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,117994,10750,55.8,46.0,Preparatoria,31.8,45.4,38.3,39.6
9712,Empacadores de objetos y mercancías,sinco-9712,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,115985,8170,45.8,45.0,Secundaria,6.9,49.4,50.2,52.6
2412,Dentistas,sinco-2412,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,113008,15050,116.3,40.0,Profesional (licenciatura),100.0,66.2,15.5,16.5
6113,"Trabajadores en el cultivo de café, cacao y tabaco",sinco-6113,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",112096,1935,16.7,35.0,Primaria,5.1,18.4,1.5,1.2
2811,Enfermeras (técnicas),sinco-2811,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,111385,14000,81.4,40.0,Normal/Técnica,20.5,77.6,78.2,78.6
7133,"Instaladores de material aislante, de impermeabilización, vidrio y otros materiales",sinco-7133,crafts-trades,Artesanos y oficios,Trabajadores artesanales,105586,10750,62.5,48.0,Secundaria,4.9,36.1,33.4,33.0
2112,"Profesionistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",sinco-2112,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,103049,20000,112.5,40.0,Profesional (licenciatura),100.0,83.4,73.5,74.4
1314,Directores y gerentes en producción manufacturera,sinco-1314,management,Funcionarios y directivos,"Funcionarios, directores y jefes",99254,20000,96.9,48.0,Profesional (licenciatura),60.8,85.9,53.8,54.0
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",sinco-1212,management,Funcionarios y directivos,"Funcionarios, directores y jefes",98592,25000,139.5,45.0,Profesional (licenciatura),79.9,89.6,83.3,83.8
3212,Trabajadores que brindan información por teléfono (centro de llamadas) y anunciadores,sinco-3212,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,98172,11954,62.0,45.0,Preparatoria,42.3,79.1,79.0,79.6
2162,"Dibujantes y diseñadores artísticos, ilustradores y grabadores",sinco-2162,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,96353,12900,81.4,40.0,Profesional (licenciatura),95.5,63.6,44.8,45.6
9623,Mozos de hotel y restaurante,sinco-9623,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,95853,7740,41.7,48.0,Secundaria,6.9,48.2,49.4,52.4
8351,Conductores de maquinaria móvil para la construcción y minería,sinco-8351,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",94721,12900,62.5,48.0,Secundaria,6.8,67.4,69.1,68.8
4223,Agentes de bienes raíces,sinco-4223,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",93974,20000,116.3,44.0,Profesional (licenciatura),68.7,57.4,28.9,27.9
5221,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos",sinco-5221,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,93204,7740,46.5,40.0,Preparatoria,30.2,53.0,53.0,55.6
1223,Directores y gerentes en centros de enseñanza y capacitación,sinco-1223,management,Funcionarios y directivos,"Funcionarios, directores y jefes",92081,18000,119.6,40.0,Profesional (licenciatura),97.3,96.8,91.1,90.7
1614,Coordinadores y jefes de área en producción manufacturera,sinco-1614,management,Funcionarios y directivos,"Funcionarios, directores y jefes",91456,13794,68.4,48.0,Profesional (licenciatura),44.7,97.4,94.1,94.0
2253,Ingenieros industriales,sinco-2253,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,90130,20000,113.6,45.0,Profesional (licenciatura),100.0,95.0,89.7,88.6
7411,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plásticos y vulcanización de neumáticos",sinco-7411,crafts-trades,Artesanos y oficios,Trabajadores artesanales,87478,8170,35.7,49.0,Secundaria,12.1,19.7,9.9,12.0
7332,Tejedores de fibras,sinco-7332,crafts-trades,Artesanos y oficios,Trabajadores artesanales,85048,2000,20.0,24.0,Secundaria,7.2,1.8,0.8,1.0
8154,"Operadores de máquinas en el tratamiento del cuero y piel, para la elaboración de calzado y otros productos de cuero o piel",sinco-8154,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",84523,9890,47.5,50.0,Secundaria,3.8,65.3,66.1,69.2
2646,Trabajadores en reparación de equipos electromecánicos,sinco-2646,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,83345,12900,75.0,48.0,Preparatoria,14.0,55.9,48.4,49.5
